step,episode,entropy,latency,num_layers,temperature,reward,entropy_penalty,prefill_freq,decode_freq,batch_size,per_token_latency,decode_latency,max_temp
0,400,0.888,4.6647,16,54.3086,0.11576051648254793,0.7288030750484592,7,7,31,0.00123339502908514,4.5341,95.0
1,400,0.9158,4.7223999999999995,16,56.704899999999995,0.07010135002703954,0.7537745765901299,7,5,31,0.0013246563814866758,4.6301,95.0
2,400,0.9122,4.7277,16,58.887100000000004,0.05264540040226695,0.750533025993235,9,6,31,0.0012398898505114081,4.6117,95.0
3,400,0.9515,4.7304,16,60.854150000000004,0.01389317831684378,0.7860466010933342,4,6,31,0.0012822987259419898,4.5723,95.0
4,400,0.8121,4.6712,16,62.918949999999995,0.1014864623451941,0.661328273804058,6,9,31,0.0012878963330576233,4.55,95.0
5,400,0.8683,4.7332,16,64.24199999999999,0.06580506924139251,0.7111913088952513,4,6,31,0.0012939311098961181,4.58,95.0
6,400,0.8699,4.7852,16,65.7934,-0.005791068852185499,0.7126191185514591,2,6,31,0.0013307007786429366,4.6088,95.0
7,400,0.9014,4.8588000000000005,16,66.97515,-0.041788930292722015,0.7408223659454451,1,5,31,0.0013629172510518936,4.6581,95.0
8,400,0.8763,4.7928,16,68.1173,-0.042218497219157936,0.7183349283610846,4,5,31,0.0013102241662110443,4.6385,95.0
9,400,0.9364,4.74,16,69.5264,-0.09752517581957076,0.7723684048302737,8,5,31,0.001295790049207217,4.6331,95.0
10,400,0.9251,4.7006000000000006,16,70.93515,-0.11579776614567017,0.7621593927642876,5,8,31,0.0012636021505376346,4.5578,95.0
11,400,0.9165,4.756200000000001,16,71.8827,-0.15553846977756824,0.7544051491699033,3,6,31,0.0012575885774722372,4.5544,95.0
12,400,0.8214,4.7627,16,73.0761,-0.1103284650116243,0.6695409798422258,7,4,25,0.001656591304347826,4.6852,95.0
13,400,0.8982,4.6555,16,73.95095,-0.16681372952466011,0.7379491591554852,9,9,31,0.0012726899945325314,4.5556,95.0
14,400,0.9051,4.9035,16,75.0156,-0.15158841779518728,0.7441468043867633,9,5,31,0.0013072513996267663,4.7923,95.0
15,400,0.9258,4.7538,16,76.16964999999999,-0.13637329242337837,0.7627911393004996,8,5,31,0.0013219688542825362,4.6641,95.0
16,400,0.986,4.9709,16,77.23384999999999,-0.18633468313804946,0.7835983366682787,10,3,25,0.0017441754385964913,4.9058,95.0
17,400,0.918,5.395300000000001,16,78.15185,-0.07281690427473553,0.6547574871030298,5,3,31,0.0014503494623655916,5.2537,95.0
18,400,0.891,4.6395,16,80.00505,0.08200878206220208,0.5166787087400789,7,9,31,0.0013128183361629882,4.5447,95.0
19,400,0.8934,4.757000000000001,16,80.7012,0.16863530980214214,0.47993352257395183,8,5,31,0.0012475740886441124,4.6321,95.0
20,400,0.9386,4.8303,16,81.83785,0.20104173618369103,0.4469335111380818,1,6,31,0.001320475669764899,4.5804,95.0
21,400,0.8397,4.9675,16,82.755,0.3018189579090793,0.35774440953463227,5,4,31,0.0013353494623655916,4.8257,95.0
22,400,0.9192,4.7827,16,83.6044,0.31235405620492035,0.3595534952586021,5,5,31,0.001264595452141724,4.6271,95.0
23,400,0.8905,4.7679,16,84.45445,0.3809243104146525,0.3162447403671826,3,5,31,0.001349151103565365,4.6195,95.0
24,400,0.9108,4.702800000000001,16,85.55765,0.3922540579828252,0.2870288728225039,6,6,31,0.0012333595594020458,4.5585,95.0
25,400,0.952,4.656199999999999,16,86.59085,0.4281238521366786,0.2688681503697792,8,6,31,0.001306086956521739,4.5703,95.0
26,400,0.889,4.7618,16,87.6189,0.5025000216384955,0.22273358485760855,7,4,25,0.0015872666666666667,4.6655,95.0
27,400,0.8635,4.777,16,88.429,0.500072399534057,0.19735050713180008,7,5,31,0.001263088313061872,4.6453,95.0
28,400,0.888,4.5981,16,89.45400000000001,0.5640503615387698,0.18173199409038515,3,6,19,0.0021043935926773455,4.4925,95.0
29,400,0.9524,4.7472,16,90.16095,0.5932658122011465,0.1815049655503687,3,4,13,0.0030179275270184364,4.6429,95.0
30,400,3.2503,6.658,14,90.31784999999999,0.9682249124342955,-0.2815691870439404,8,0,13,0.004340286831812256,6.6001,95.0
31,400,0.9544,4.7462,16,91.29475,0.5802004573448355,0.1605572346108,2,5,25,0.0016366206896551725,4.5708,95.0
32,400,1.0164,4.6599,16,92.279,0.6274924498261241,0.15439836973445317,10,4,19,0.002151385041551247,4.599,95.0
33,400,5.0291,4.1472,14,93.04485,0.9538168758451391,-0.1830053750458398,9,7,31,0.0011532814238042269,4.0691,95.0
34,400,1.0145,4.9845,16,93.7944,0.6123347209955976,0.13038379026449562,10,3,25,0.0017337391304347825,4.9167,95.0
35,400,0.9138,4.5788,16,94.32475,0.6495257004078285,0.10962974135236743,8,6,19,0.0020597390913180387,4.5115,95.0
36,400,4.1368,4.2733,14,94.54554999999999,1.5207587383570933,-0.7059535169349314,5,5,25,0.0014485762711864407,4.1746,95.0
37,400,1.0216,4.6905,16,95.4294,0.6796399296685054,0.11504715315970127,5,4,13,0.0031374581939799333,4.6288,95.0
38,400,0.807,4.7459,16,96.09729999999999,0.626576595303642,0.08889241117722457,7,4,25,0.0016365172413793103,4.654,95.0
39,400,0.852,4.728000000000001,16,96.50455,0.6016444318168203,0.09428423550175057,9,4,25,0.001644521739130435,4.6592,95.0
40,400,0.8462,4.6344,16,97.22285,0.6141486077262326,0.09358656203533226,6,5,13,0.0031271255060728747,4.569,95.0
41,400,3.9525,4.2084,14,97.9868,1.4592467350505993,-0.8172796831444429,7,6,31,0.001121940815782458,4.0896,95.0
42,400,0.9537,4.7279,16,98.51285,0.4947667026725747,0.10665000917581066,6,5,19,0.00210878679750223,4.648,95.0
43,400,3.5791,4.7052,14,98.53715,1.5616560121908236,-0.8977880026615793,10,2,19,0.002172299168975069,4.6438,95.0
44,400,0.8899,5.4621,16,98.90174999999999,0.4627089015383564,0.09886314758568995,7,3,19,0.002395657894736842,5.3765,95.0
45,400,8.6245,4.2417,12,98.9505,1.187329691789121,-0.5165395324912296,6,6,25,0.0014883157894736842,4.1731,95.0
46,400,0.9039,5.9779,16,98.8195,0.39221961803881006,0.1005633640651777,6,4,31,0.0015677681615525834,5.7625,95.0
47,400,8.8513,5.0693,12,98.86485,1.049595601575953,-0.3843743889143485,10,1,19,0.0023611085235211923,4.9973,95.0
48,400,0.8981,6.4559999999999995,16,98.88055,0.3768316729180476,0.09985841103259044,5,6,31,0.0017953281423804225,6.3091,95.0
49,400,0.8339,6.2004,16,98.87105,0.4697400346159437,0.09210968840422111,4,4,13,0.004111671087533157,6.119,95.0
50,400,8.1392,4.670299999999999,13,98.85875,0.7671374325462875,-0.06569962498688176,1,5,7,0.0058525062656641594,4.6027,95.0
51,400,0.9937,5.9688,16,98.8066,0.47195817284647096,0.11158297329367307,5,6,13,0.003992508361204013,5.8847,95.0
52,400,1.0105,6.0084,16,98.79505,0.4636476920651583,0.11366661521085207,4,5,13,0.0037575984990619138,5.8997,95.0
53,400,0.8373,6.1676,16,98.8914,0.46969236977824724,0.09251756662746834,9,3,13,0.004125484949832776,6.0867,95.0
54,400,9.0691,3.9486000000000003,9,98.8151,3.188150245516041,-2.3945417151955675,3,7,7,0.005036479591836735,3.8961,95.0
55,400,4.056,5.9287,14,98.89840000000001,1.3174667015213168,-0.793879183044215,9,7,31,0.0016346015991177282,5.7708,95.0
56,400,4.2487,5.871700000000001,14,98.8876,1.2793602030060889,-0.7489995362571883,9,7,31,0.0016328420467185763,5.738,95.0
57,400,4.6794,6.5028999999999995,14,98.89335,1.1347925831755363,-0.6422111827192145,9,4,31,0.0017777200656096225,6.3027,95.0
58,400,0.9007,6.4789,16,98.9302,0.4061795596825478,0.10017432333871976,3,5,19,0.00288978590544157,6.3312,95.0
59,400,0.8937,6.6425,16,98.93785,0.39752000347117145,0.0993241642992403,6,2,19,0.002962756467439786,6.5047,95.0
60,400,8.7383,5.9098999999999995,12,98.9984,1.006735731071461,-0.45097322011393803,10,6,31,0.0016577559607293126,5.7573,95.0
61,400,0.9313,6.4108,16,98.75385,0.44378346682464054,0.10390473837447825,6,9,13,0.00410948717948718,6.2495,95.0
62,400,9.0794,3.9692,9,98.73275,3.189506910763845,-2.3881223964376326,3,8,7,0.005108365508365508,3.916,95.0
63,400,0.8321,6.5807,16,98.92145,0.40913641323805855,0.09189386513454556,5,4,19,0.0029602789023841654,6.4348,95.0
64,400,0.7988,6.7891,16,98.94964999999999,0.39073573447501125,0.08791511723106867,2,7,19,0.002953066550674206,6.6096,95.0
65,400,1.4549,7.8522,15,98.97005,0.9582638488212916,-0.5428812965204408,0,0,19,0.0035023193577163247,7.6533,95.0
66,400,0.6403,5.5593,15,98.88435,1.2867494459530446,-0.6449494573468053,8,10,1,0.050539090909090915,5.4896,95.0
67,400,0.9008,7.9776,16,99.08330000000001,0.2788457622737673,0.10018647709296645,7,4,25,0.002704271186440678,7.8247,95.0
68,400,3.9429,6.510400000000001,14,98.8569,1.326164814709065,-0.8194257164836993,9,7,31,0.0018422184493491797,6.3493,95.0
69,400,0.9811,7.2415,16,99.021,0.34396152889884263,0.11002482985968333,7,8,19,0.00322992863514719,7.1043,95.0
70,400,1.4209,6.93,15,98.80850000000001,1.0051777136323996,-0.5474822353627771,3,9,31,0.0018475073313782991,6.7006,95.0
71,400,0.8689,7.1731,16,99.00095,0.3451472800276456,0.09632173236270099,3,4,25,0.002431559322033898,7.0076,95.0
72,400,4.034,6.1472,14,98.9778,1.3261730572643295,-0.7988938208045865,4,2,25,0.0021569122807017544,6.0046,95.0
73,400,4.1694,6.2948,14,98.94815,1.2877515183872519,-0.7676780998985528,2,3,25,0.002098266666666667,6.1276,95.0
74,400,0.8073,7.396800000000001,16,98.94194999999999,0.34324333995692635,0.0889281962341644,8,3,25,0.002595368421052632,7.2537,95.0
75,400,5.1638,6.660500000000001,14,98.9247,0.9913548682174499,-0.5105884189488503,10,5,31,0.001790456989247312,6.4537,95.0
76,400,0.8238,6.6961,16,99.0446,0.395646755052001,0.09089968457843285,7,6,19,0.0030381578947368424,6.5506,95.0
77,400,4.2238,8.4399,14,98.9939,1.117826958801517,-0.754896495080647,0,4,31,0.002250039989336177,8.097,95.0
78,400,0.831,6.7059999999999995,16,98.97999999999999,0.4285294126401715,0.09176201137999054,4,9,13,0.00456501021102791,6.5961,95.0
79,400,0.8788,6.5719,16,98.8024,0.4182866878893547,0.09751849827808386,3,3,19,0.0030341181902123733,6.4252,95.0
80,400,8.749,5.2421,12,98.89519999999999,1.081330274741453,-0.4447312749435244,1,5,19,0.002358119658119658,5.1154,95.0
81,400,0.8754,6.6635,16,98.96449999999999,0.4169059194793716,0.09710722057726756,4,9,13,0.004536078965282505,6.5498,95.0
82,400,0.9986,6.726,16,98.97524999999999,0.37661470670731195,0.11218997915768812,7,7,19,0.0030782608695652173,6.5906,95.0
83,400,4.4472,7.9024,14,98.90585,1.1048072016759578,-0.7009245167505231,9,4,31,0.002124301075268817,7.6516,95.0
84,400,4.9001,6.751900000000001,14,98.9602,1.0499369207839608,-0.5838206701687213,0,4,31,0.001785272342675833,6.4053,95.0
85,400,0.7462,6.5592,16,98.93285,0.4213503950790507,0.0816841058595318,6,3,19,0.0030019221967963385,6.428,95.0
86,400,0.9402,6.6027000000000005,16,98.8899,0.4183313958627751,0.10499402099831753,5,7,13,0.0043410256410256415,6.5033,95.0
87,400,8.473,4.636,11,98.87119999999999,2.037069297078469,-1.315828693551322,7,4,7,0.005860935524652339,4.5744,95.0
88,400,4.6317,5.9386,14,98.87129999999999,1.2516836778128595,-0.6544959875319738,6,7,13,0.0039723076923076925,5.8602,95.0
89,400,3.9385,6.2437000000000005,14,98.82615,1.4064686532968484,-0.8204079389037664,5,5,13,0.004250306330837304,6.1394,95.0
90,400,9.0411,7.8212,12,98.86215,0.7193021032036774,-0.26906845936774904,5,0,31,0.002138108255877529,7.6494,95.0
91,400,9.2659,5.021800000000001,10,98.80109999999999,2.2239036867652557,-1.5552864066573742,2,9,31,0.0014086395511921461,4.8981,95.0
92,400,9.1679,5.1881,11,99.0437,1.5473738146682268,-0.9038463230531453,0,7,19,0.002314049955396967,5.0307,95.0
93,400,4.8608,5.782699999999999,14,98.87135,1.1951202838474517,-0.5944077568470775,5,5,13,0.0039019568151147095,5.6793,95.0
94,400,4.2242,6.1484000000000005,14,98.93780000000001,1.2870336064402068,-0.7548019967211127,2,3,25,0.0020842033898305088,5.9968,95.0
95,400,4.4784,6.6283,14,98.8456,1.229290446467528,-0.6931930573266448,10,2,19,0.003060156971375808,6.4924,95.0
96,400,8.6382,5.2761,12,98.89515,1.113052545899592,-0.5087250083373633,4,4,31,0.0014672135706340376,5.1537,95.0
97,400,0.8156,7.8522,16,98.9217,0.31674803871404184,0.08991910140180527,5,2,25,0.0027795398230088496,7.6822,95.0
98,400,0.9371,7.2751,16,98.75305,0.3679222108792412,0.10461438787020408,9,4,19,0.0031130081300813008,7.0666,95.0
99,400,8.8587,5.5145,12,99.00139999999999,0.998729356619193,-0.3799603151505373,4,6,19,0.0025237986270022885,5.4018,95.0
100,400,8.6376,3.6159000000000003,12,94.4925,1.1452905183702002,-0.29412574464973007,5,9,13,0.0023773175542406316,3.5605,95.0
101,400,0.9097,4.8019,16,89.11715000000001,0.5273406288980658,0.19364558615609867,3,4,25,0.0016416752136752136,4.6578,95.0
102,400,0.911,4.8987,16,84.41745,0.32619891874233203,0.3255333311160417,0,6,31,0.00138616298811545,4.6245,95.0
103,400,0.8852,4.7756,16,80.97194999999999,0.18305403398674625,0.4611612631634713,5,5,31,0.001316680452164323,4.6415,95.0
104,400,0.8916,4.7135,16,77.59684999999999,-0.09925696570975773,0.6741971496870333,1,7,25,0.0015977966101694914,4.5176,95.0
105,400,0.9432,4.7863999999999995,16,75.03614999999999,-0.1764351244532003,0.7785230100437579,4,5,31,0.0013084745762711864,4.6339,95.0
106,400,0.8522,4.624099999999999,16,72.63175000000001,-0.15926098800082977,0.6968493757848226,4,7,25,0.0016224912280701752,4.5238,95.0
107,400,0.8685,4.819100000000001,16,70.65960000000001,-0.13051456143832318,0.7113697601166086,2,6,31,0.001295456989247312,4.5993,95.0
108,400,0.9054,4.681,16,69.0137,-0.14611355566601925,0.7444164612846527,6,6,31,0.001324561403508772,4.5776,95.0
109,400,0.8588,4.6434,16,67.70255,-0.20901669016907864,0.7027230927611996,6,9,25,0.0015478,4.5401,95.0
110,400,0.9343,4.7033,16,66.27315,-0.1780420036392485,0.7704694089173014,5,7,31,0.0012749525616698291,4.5641,95.0
111,400,0.7987,4.7991,16,64.8965,-0.04965831160222545,0.649521741849684,4,5,31,0.0013231596360628619,4.6476,95.0
112,400,0.9293,4.6253,16,63.88375,-0.2460175979498319,0.765951198989866,9,6,25,0.0016229122807017544,4.559,95.0
113,400,0.9657,4.6201,16,62.696200000000005,-0.2833484879514063,0.798947283738819,9,7,25,0.0015400333333333333,4.5371,95.0
114,400,0.8708,4.9021,16,62.1887,-0.11941753574596059,0.7134224622915658,7,4,31,0.0013994005138452754,4.8096,95.0
115,400,0.9051,5.372199999999999,16,60.89895,-0.2063147581754442,0.7441468043867633,4,3,31,0.001481169010201268,5.2223,95.0
116,400,0.9043,4.6772,16,60.16405,-0.11001963346637345,0.7434277984200723,5,7,31,0.0013119775596072932,4.5664,95.0
117,400,0.9211,4.6861999999999995,16,59.481049999999996,-0.12791661962829415,0.7585511087561203,10,7,31,0.0012597311827956988,4.5835,95.0
118,400,0.7941,4.7321,16,59.2827,-0.03910866576696659,0.6454760431539395,2,8,31,0.0013159343715239155,4.5572,95.0
119,400,0.8153,4.646199999999999,16,58.572900000000004,-0.16672145425405555,0.6641524275320881,10,9,25,0.001616069565217391,4.579,95.0
120,400,0.9229,4.7642,16,57.822,-0.14453364125444157,0.7601744793444463,7,5,31,0.0013024056861673044,4.6521,95.0
121,400,0.8134,5.0042,16,57.54665,-0.053408696548147505,0.6624753682710655,0,6,31,0.001334097573980272,4.6254,95.0
122,400,0.9224,4.6757,16,57.398250000000004,-0.14133802417545327,0.7597234844466325,5,9,31,0.001300250278086763,4.5623,95.0
123,400,0.9583,4.6712,16,57.0536,-0.1613692780195335,0.792219821309069,5,7,31,0.0013217883418222976,4.5572,95.0
124,400,0.877,4.7135,16,56.7391,-0.08829071672105615,0.7189605390427813,7,5,31,0.0013107619577308119,4.6183,95.0
125,400,0.9244,4.68,16,56.7321,-0.1320750868721775,0.7615277346663987,8,7,31,0.0012793876435210497,4.5718,95.0
126,400,0.9064,4.6878,16,56.2915,-0.11413748362927201,0.7453154344712309,8,8,31,0.0012395029085140138,4.564,95.0
127,400,0.9824,4.7019,16,56.5139,-0.1946619213100561,0.814166169057007,9,9,31,0.001285374521596501,4.6006,95.0
128,400,0.8792,4.674300000000001,16,56.30075,-0.08477628116936975,0.720927314338794,8,6,31,0.0013111640953716692,4.5876,95.0
129,400,0.8685,4.668200000000001,16,55.60335,-0.07344971899815789,0.7113697601166086,10,8,31,0.0012548924731182797,4.5654,95.0
130,400,0.9264,4.8875,16,57.492149999999995,-0.16558194829178552,0.7633327067306117,6,5,31,0.0013709677419354838,4.7872,95.0
131,400,0.833,4.8309999999999995,16,59.1899,-0.07873233037477878,0.679806217987407,4,5,31,0.0012669813794912142,4.6498,95.0
132,400,0.9312,4.744800000000001,16,61.3985,-0.1920384515003245,0.7676675865384619,10,7,31,0.001286202222824614,4.6435,95.0
133,400,0.8119,4.9058,16,62.9952,-0.08876388281183267,0.6611518242021217,0,6,31,0.001352577888061759,4.5843,95.0
134,400,0.9047,4.954,16,64.60485,-0.19931091436173676,0.7437872870232987,5,4,31,0.0013658671078025915,4.8217,95.0
135,400,0.9449,4.6537,16,66.33144999999999,-0.24022020469868766,0.7800629696454703,7,10,31,0.0012941323692992213,4.5583,95.0
136,400,0.9183,4.7646,16,67.57445,-0.20108270152830332,0.756027026944087,6,5,31,0.0013136476426799007,4.6444,95.0
137,400,0.7826,4.6832,16,68.83175,-0.07792551919870794,0.6353780653806493,8,6,31,0.0012802624384909787,4.5759,95.0
138,400,0.8777,4.8222000000000005,16,70.28875,-0.17080783955290335,0.7195862373161046,1,6,31,0.0013182613449972665,4.572,95.0
139,400,0.8416,4.6488000000000005,16,71.27195,-0.1260109715853095,0.6874320410101253,9,6,31,0.0013040112201963537,4.5688,95.0
140,400,0.8795,4.9159,16,72.57915,-0.20102641447985858,0.7211955780254844,5,7,31,0.001321478494623656,4.7737,95.0
141,400,0.9567,4.9647,16,73.61195000000001,-0.2800940445264861,0.7907665435031003,0,4,25,0.0017419999999999998,4.7534,95.0
142,400,0.8869,5.055700000000001,16,74.57,-0.2181353116006599,0.7278178467510346,5,3,25,0.0016852333333333335,4.9423,95.0
143,400,0.9918,4.6424,16,76.07575,-0.3473150225676518,0.8227548723062295,2,7,13,0.003000904977375566,4.5399,95.0
144,400,0.871,4.771,16,77.09705,-0.13421513686360076,0.6944365837867831,5,5,31,0.0013042646254784035,4.6348,95.0
145,400,0.9583,4.9887999999999995,16,78.06215,-0.15467106027124278,0.6931654099657374,9,5,31,0.0014116581777023202,4.9056,95.0
146,400,0.8356,4.7554,16,78.84530000000001,0.01550978024391414,0.5474787401590594,7,4,25,0.0016397931034482758,4.6638,95.0
147,400,0.9233,4.7232,16,80.6208,0.0538869703136603,0.5019534499001016,8,5,31,0.0013248807854137447,4.6372,95.0
148,400,0.8286,4.6011,16,80.76044999999999,0.11089419515544308,0.4392882971044839,5,6,7,0.005816814159292035,4.544,95.0
149,400,0.8282,4.7669,16,82.37270000000001,0.20304799443868793,0.3675919700531435,4,5,31,0.0013256117908787542,4.6395,95.0
150,400,0.9494,4.6871,16,82.96815000000001,0.1903800437690628,0.39957985847562294,9,5,25,0.0015494545454545455,4.588,95.0
151,400,0.8754,4.662699999999999,16,84.82415,0.27606056741517515,0.29800835407919557,8,7,31,0.0012746582832148714,4.5562,95.0
152,400,0.9372,4.8136,16,85.3298,0.3360736161226321,0.3036831502876707,5,3,19,0.0021840290381125228,4.7305,95.0
153,400,1.0161,4.6192,16,86.00274999999999,0.3385773463382501,0.3082181022185888,7,6,13,0.003036949375410914,4.5595,95.0
154,400,0.8883,5.4013,16,86.26615000000001,0.3635552945897307,0.2583150456722434,2,2,19,0.0023301553062985334,5.2296,95.0
155,400,0.947,4.6951,16,87.56995,0.45356068335378297,0.23997855084082834,5,4,7,0.005684140435835351,4.6365,95.0
156,400,0.8786,4.7029000000000005,16,88.78415000000001,0.4418778513889643,0.1933952534828255,2,6,25,0.0015676333333333335,4.5289,95.0
157,400,0.9019,4.6406,16,89.04905,0.4656454047437817,0.19327595405562514,5,6,19,0.0020019844693701465,4.5282,95.0
158,400,0.7308,5.0550999999999995,16,90.25954999999999,0.5239321952743689,0.13466515236408835,3,3,25,0.001758295652173913,4.9349,95.0
159,400,0.9377,4.7608,16,90.6522,0.49687517998591424,0.16903054770558865,7,4,25,0.0016138305084745762,4.6697,95.0
160,400,0.7739,5.2814000000000005,16,91.37385,0.5179080695020319,0.12668761781931964,0,3,25,0.001745917355371901,4.9621,95.0
161,400,4.6918,4.1096,14,92.55265,0.9292498781385873,-0.20196042671380088,5,7,19,0.001833006244424621,4.0293,95.0
162,400,0.8858,4.619,16,93.3335,0.573832131697758,0.11819465415993553,5,7,13,0.003089632107023411,4.5568,95.0
163,400,5.46,4.263599999999999,14,94.17009999999999,0.9586837563319089,-0.2620323419277042,10,5,31,0.0011273400317292437,4.1541,95.0
164,400,4.3161,4.2839,14,94.75115,1.4044415499630583,-0.6939619941016517,9,5,31,0.0012121958121109225,4.205,95.0
165,400,0.8788,4.636299999999999,16,95.1106,0.5439764223924545,0.09751849827808386,6,7,25,0.001545433333333333,4.5333,95.0
166,400,9.0614,2.948,9,96.13274999999999,3.235326463915629,-2.399331992754419,7,6,31,0.0007991325562483058,2.8687,95.0
167,400,3.8105,6.6219,14,95.9853,1.4052966177995878,-0.8486066281993921,6,1,31,0.0018257237386269645,6.5117,95.0
168,400,0.8994,4.6951,16,96.82595,0.5295921793524536,0.10001634665135531,5,4,19,0.002112055780476833,4.6089,95.0
169,400,0.8371,4.774,16,97.3197,0.48989289699846555,0.09249356611233125,6,4,25,0.0016462068965517242,4.6747,95.0
170,400,1.1311,4.7749999999999995,16,98.0504,0.45900631278007875,0.12883148344551829,1,4,13,0.003250510551395507,4.6476,95.0
171,400,9.1041,3.8024,12,98.5598,0.8243335010302294,-0.22981736723297796,10,6,31,0.0010053939714436805,3.7016,95.0
172,400,9.1257,3.4733,10,99.08914999999999,2.284434958911139,-1.6448170241796674,6,5,25,0.0011773898305084745,3.3964,95.0
173,400,9.0741,3.5787,9,98.85085000000001,3.067450881428374,-2.3914271925968706,1,9,31,0.0010038429172510518,3.4467,95.0
174,400,3.8183,5.0013,14,98.7833,1.4005477569166724,-0.84690884777946,10,2,19,0.002193552631578947,4.9159,95.0
175,400,0.9303,5.9475,16,99.03905,0.366416418532703,0.10378246819180179,4,9,19,0.002770144387517466,5.865,95.0
176,400,8.1958,4.7148,12,98.79225,1.3326282327731098,-0.7505607041735254,1,4,25,0.001533268292682927,4.5098,95.0
177,400,4.4053,5.8558,14,98.84315000000001,1.1820253157181515,-0.7112318610558018,0,4,31,0.001587367850365953,5.5496,95.0
178,400,4.6256,8.735,14,98.8075,0.9673039860477417,-0.6560585651247063,7,0,31,0.0023879168944778567,8.5878,95.0
179,400,8.3358,4.7124,12,98.94015,1.2703640593720533,-0.6763318446729851,0,10,19,0.0021948765719608755,4.5854,95.0
180,400,1.1445,5.934,16,98.91735,0.3669940188904255,0.1305391586803946,7,8,13,0.003935013262599469,5.853,95.0
181,400,1.0281,6.8193,16,98.9208,0.2926229890763713,0.1158570002511433,0,4,25,0.0023719304347826087,6.5988,95.0
182,400,0.8185,6.2946,16,98.8731,0.37578977049052376,0.09026570922821105,4,5,19,0.002831578947368421,6.157,95.0
183,400,8.828,5.790699999999999,12,98.8912,0.9115882733665897,-0.39823016501866526,6,7,31,0.0016243197755960728,5.6511,95.0
184,400,9.1741,4.7294,10,98.91544999999999,2.2266480332375194,-1.6141924842657072,4,4,25,0.0015764666666666666,4.5968,95.0
185,400,0.8368,6.3242,16,98.86574999999999,0.3953719345166214,0.09245756713961627,8,6,13,0.004193766578249337,6.2282,95.0
186,400,9.3027,5.0512999999999995,10,98.9964,2.111509380697143,-1.5313672892721955,10,6,31,0.0014169144460028048,4.9209,95.0
187,400,9.0118,5.8162,9,98.92314999999999,2.9847917655322878,-2.4300126641948974,6,0,25,0.001922710743801653,5.6767,95.0
188,400,4.7771,5.432799999999999,14,98.80205000000001,1.1804084714726095,-0.6166803870870987,5,5,13,0.003453782581055308,5.3004,95.0
189,400,0.8891,6.9709,16,99.0369,0.31349606811720515,0.09876613607326219,10,5,19,0.0031092328278322927,6.8251,95.0
190,400,0.9257,7.0188999999999995,16,99.0134,0.2911128106052603,0.10322034021241833,2,6,25,0.0024627719298245614,6.8621,95.0
191,400,1.0312,6.6418,16,98.91615,0.34955201343453907,0.11624360596020966,5,8,13,0.004481646423751687,6.5261,95.0
192,400,1.6038,6.0072,15,98.9716,1.0075684643746101,-0.5223592485493531,7,7,19,0.0027492906178489705,5.876,95.0
193,400,0.8361,8.8383,16,98.8694,0.1749497554219191,0.09237357793589893,10,8,31,0.0023179386309992132,8.5378,95.0
194,400,5.0404,6.3431,14,99.0412,1.0380002230414307,-0.5453389348562725,5,5,13,0.004206299734748011,6.2547,95.0
195,400,9.225,5.437399999999999,10,98.85884999999999,2.149801451827015,-1.5816646822880331,4,4,25,0.0017974876033057848,5.2612,95.0
196,400,4.8159,6.671600000000001,14,99.02515,1.0191596657919801,-0.6064020274055579,9,7,31,0.0018238381629305633,6.4553,95.0
197,400,1.1224,6.1027,16,98.91085,0.3905787127669712,0.12772521667240794,8,7,7,0.007515640394088669,6.0329,95.0
198,400,4.5853,6.3597,14,98.90275,1.10870333573837,-0.6663340618603574,9,7,31,0.00175343258891646,6.1582,95.0
